经度,纬度,date
109.454026,22.738682,2016-01-01 19:00:00
108.28036100000001,22.774379,2017-01-20 17:00:00
108.360098,22.823914000000002,2017-01-21 11:16:00
108.28060900000001,22.764768,2017-02-21 21:00:00
108.36314899999999,22.804797,2017-02-24 18:41:00
108.496321,22.748551000000003,2017-02-25 19:31:00
108.40251799999999,22.822712,2017-03-05 17:00:00
108.31516299999998,22.804419,2017-03-22 14:02:00
108.293755,22.748604,2017-03-24 22:20:00
108.371874,22.812973,2017-04-02 20:40:00
109.26501299999998,22.681339,2017-04-18 18:20:00
108.31603700000001,22.77607,2017-04-21 05:00:00
108.353195,22.824716,2016-01-01 00:00:00
108.42266299999999,22.802081,2016-01-01 00:00:00
108.45475900000001,22.810385,2016-01-01 00:10:00
108.454532,22.810208,2016-01-01 01:00:00
108.360006,22.829522,2016-01-01 01:30:00
108.444499,22.810706,2016-01-01 02:00:00
108.412842,22.806238,2016-01-01 02:15:00
108.336853,22.774737,2016-01-01 03:00:00
108.33253899999998,22.822029,2016-01-01 03:00:00
108.371874,22.812973,2016-01-01 03:30:00
108.464073,22.813996,2016-01-01 07:00:00
108.419822,22.834544,2016-01-01 07:30:00
108.413301,22.811863,2016-01-01 07:50:00
108.33591000000001,22.82105,2016-01-01 08:00:00
108.33295,22.82731,2016-01-01 08:10:00
108.36934699999999,22.809681,2016-01-01 08:11:00
108.368095,22.823605999999998,2016-01-01 08:30:00
108.329849,22.820152,2016-01-01 08:50:00
108.37233300000001,22.821425,2016-01-01 09:00:00
108.31781399999998,22.816271,2016-01-01 09:00:00
108.34608500000002,22.8681,2016-01-01 09:00:00
108.296411,22.823088000000002,2016-01-01 09:30:00
108.462046,22.807433,2016-01-01 10:00:00
108.31930600000001,22.820943,2016-01-01 10:00:00
109.254002,22.68843,2016-01-01 10:10:00
108.48375300000001,22.756556,2016-01-01 12:00:00
108.31781399999998,22.816271,2016-01-01 12:00:00
108.311043,22.802336999999998,2016-01-01 12:45:00
108.924474,22.797985,2016-01-01 13:16:00
108.323586,22.809676,2016-01-01 13:22:00
108.379948,22.809081,2016-01-01 13:41:00
108.36646,22.815485,2016-01-01 14:00:00
108.31991399999998,22.816724,2016-01-01 14:00:00
108.350907,22.797017999999998,2016-01-01 14:10:00
108.32068500000001,22.815255,2016-01-01 14:10:00
